Llave,Valor,Image Name
Referencias,"[1] erupciones cutáneas, erupciones en la piel en los niños la información. Paciente. Disponible en: https://patient.info/doctor/common-childhood-rashes. (Consultado: 7ª de septiembre de 2017).
[2] erupciones cutáneas, erupciones en la piel en los niños la información. Paciente. Disponible en: https://patient.info/doctor/common-childhood-rashes. (Consultado: 7ª de septiembre de 2017).
[3] Las erupciones, erupciones en la piel en los niños la información. Paciente. Disponible en: https://patient.info/doctor/common-childhood-rashes. (Consultado: 7ª de septiembre de 2017).
[4] buenas prácticas de higiene - La reducción de la propagación de infecciones y virus: respuestas OSH. Disponible en: http://www.ccohs.ca/. (Consultado: 7ª de septiembre de 2017).
",
,,
2.6 Deshidratación,,
Presentación,"Hay numerosos signos y síntomas de deshidratación. Estos incluyen, pero no se limitan a [1]:

-Dry boca / labios.
-La falta de lágrimas.
manteniendo -no cualquier líquido hacia abajo.
-No hacer de orina / pañales secos.
-Lethargic / confundido.",
Causas,"Esto tal vez de horas de trabajo en el sol y no beber suficiente agua o exacerbada por una condición médica se enumeran a continuación [1].

<b> Gastrointestinal </b>
-Gastroenteritis (más común, generalmente viral).
-Vómitos.
diarrea -Chronic.
-Malabsorption (celíaca, giardia).
ingesta -poor debido a GI dolor tracto.

<b> Endocrine </b>
cetoacidosis -Diabetic (CAD).
-Diabetes insípida: poliuria excesiva.
-Thyrotoxicosis: pérdidas insensibles, diarrea.
hiperplasia adrenal -Congenital (CAH).

<b> Otros </b>
enfermedad febril: las pérdidas de líquidos insensibles.

Quemaduras: Las pérdidas de fluido puede ser extrema y requieren el manejo de fluidos agresivos.

Golpe de calor.

fibrosis quística: de sodio en exceso y pérdidas de cloruro en sudor.",
Evaluación,"Evaluar el nivel de deshidratación.

",dehydration_assessment
Complicaciones,"El shock puede ser el resultado de la hipoperfusión [2,3].

Organizar el traslado de emergencia a la atención secundaria [2]:

- piel pálida o moteada.
- Extremidades frías.
- Disminución del nivel de conciencia.
- Taquicardia / taquipnea
- pulsos periféricos débiles.
- El prolongado tiempo de llenado capilar.
- La hipotensión.",
Referencias,"[1] La deshidratación: MedlinePlus enciclopedia médica. Disponible en: https://medlineplus.gov/ency/article/000982.htm. (Consultado: 8ª de septiembre de 2017).
[2] Khanna, R., Lakhanpaul, M., Burman-Roy, S., Murphy, M. S. & grupo de la guía y el equipo técnico. La diarrea y los vómitos causados ​​por la gastroenteritis en niños menores de 5 años: resumen de la guía NICE. BMJ 338, b1350 (2009).
[3] La deshidratación en los niños; Los síntomas de la deshidratación. Disponible en: https://patient.info/in/doctor/dehydration-in-children. (Consultado: 8ª de septiembre de 2017).
[4] La deshidratación en los niños; Los síntomas de la deshidratación. Disponible en: https://patient.info/in/doctor/dehydration-in-children. (Consultado: 8ª de septiembre de 2017).
[5] [No title]. Disponible en: http://www.who.int/entity/medicines/publications/pharmacopoeia/QAS07_194rev1Zinc-sulf_FINAL.pdf. (Consultado: 8ª de septiembre de 2017).
[6] La deshidratación planes de tratamiento - Uso de terapia de rehidratación oral ORT para prevenir y tratar la deshidratación. Disponible en: http://rehydrate.org/dehydration/treatment-plans.htm. (Consultado: 8ª de septiembre de 2017).
[7] OMS | OMS documento de posición sobre sales de rehidratación oral para reducir la mortalidad por cólera. (2013).
",
2.6.1 Gestión,,
Principios Generales En Los Niños,"Principios generales para la diarrea y deshidratación en los bebés / niños [24]. Decirle al cuidador a ...

<b> Dar líquidos adicionales </b>
mamadas más frecuentes para una mayor duración.

Si no exclusivamente la lactancia materna o no tomar la mama dar ORS 10 ml / kg / hr o alimentos con contenido líquido.

Después de cada deposición suelta dar el exceso de líquido.

Hasta 2 años: 50 a 100 ml después de cada deposición suelta.

2 años o más: 100 a 200 ml después de cada deposición suelta.

<b> Continuar la alimentación </b>
Nunca dejar de alimentar, buenos alimentos incluyen plátano, cereales, pan, evitar los alimentos azucarados.

<b> Busque atención médica si ... </b>
-Dry boca / labios.
-La falta de lágrimas.
manteniendo -no cualquier líquido hacia abajo.
-No haciendo orina / pañales secos.
-Lethargic / confundido.



",dehydration_management
La Deshidratación Moderada,"Si un niño se ve moderadamente deshidratado o tiene alguna duda ...

<b> Discuta con el LMP </b>

Administrar SRO en la clínica y observar de cerca durante 4 horas.

Si no mejora, entonces considerar líquidos por vía intravenosa o ingreso en el hospital. Idealmente revisar paciente de nuevo en 24 horas.

Si la diarrea:
Los suplementos de zinc dar OD 10 días (2 - 6 meses: 10 mg, de 6 meses a 5 años: 20 mg).

<I> Zinc disminuye la duración de la enfermedad diarreica y disminuye la recurrencia de enfermedades diarreicas. </ I> [5]

Determinar la cantidad de ORS para dar en las primeras 4 horas [6] (20 ml / kg por hora)
(Ver imagen de arriba)

Dependiendo de su nivel de preocupación, las opciones son:

líquidos IV -Dar en clínica.
transferencia -Arrange y admisión.
-Arrange Viernes seguimiento.
",
Opciones De Rehidratación,"ORS es el mejor, o el agua (limpia), evitar las bebidas azucaradas. ORS está disponible rutinariamente en las clínicas.

Un remedio casero puede ser enseñado para la próxima vez que el paciente tiene diarrea y / o deshidratación.

Solución de azúcar Sal (remedio casero) [5-7]
    - IL agua limpia (hervida)
    - ½ cucharadita de sal
    - 6 cucharaditas de azúcar

Alternativas: agua de coco, agua de arroz.",
,,
$Desnutrición,,
Evaluación Del Crecimiento,"Una medida de altura y peso para todos los niños deben realizarse a todas las visitas a la clínica. Si cualquiera de estos son anormales, por favor vuelva a revisar todos los siguientes:

fecha de nacimiento de -child.
-Calculated edad.
medición -Altura / longitud. *
-Peso.**
-Graph trazado. ***

* <I> Lo ideal sería que con la tarjeta de medida. </ I>
** <i> ropa mínimos, pesar con la madre </ i>
*** <i> siempre usar una regla. </ I>

Si un niño prematuro es la edad corregida debe trazado hasta los 2 años. (Por ejemplo si nacido a las 34 semanas, a las 6 semanas de vida su peso se representa en el día 0).

Si cualquiera de los anteriores se realizan incorrectamente, tabla de crecimiento del niño será incorrecta.

Laminados puntuaciones Z disponibles en la clínica.

<I> Use balanzas electrónicas, que debe ser calibrado antes de cada clínica. </ I>",
El Crecimiento De Los Bebés,"En la primera semana de vida de los bebés pueden perder hasta un 10% de su peso al nacer. Esto es normal. Deben recuperar su peso al nacer a las 2 semanas de edad.

Si un bebé pierde más del 10% de su peso al nacer Esto es preocupante y que debe ser trasladado urgentemente al hospital para su revisión. Más allá de las 2 semanas de vida, los bebés sanos deben tener alrededor de 150-200 gramos por semana hasta 6 meses de edad.

Las preocupaciones sobre el crecimiento de un bebé menor de 6 meses (pérdida de peso / retraso del desarrollo / baja puntuación z) debería conducir a una remisión urgente a un pediatra, hay más probabilidades de ser una causa orgánica.",
Edema,"Los niños con desnutrición aguda grave (SAM) se puede presentar con diferentes niveles de edema. El fluido retenido hará que el peso del niño superior y las puntuaciones z / MUACs poco fiable.

<b> El edema en un niño es siempre una señal de alerta </ ​​b>
Los niños con edema deben tomarse inmediatamente al hospital.",
Las Causas De La Desnutrición,"La causa subyacente de la desnutrición de un niño puede ser complicado y difícil de determinar. Comúnmente se trata de una combinación de cualquiera de los siguientes, y todos ellos deben ser considerados.

Bajo peso al nacer debido a factores intrauterinos.

ingesta insuficiente de nutrientes; incluyendo la lactancia materna insuficiente, destete tardío y la falta de alimentos en el hogar debido a las
pobreza.

Infecciones; Incluyendo la enfermedad diarreica, gusanos gastrointestinales, neumonía.

Subyacente condiciones médicas; Incluyendo la enfermedad cardiaca, trastornos endocrinos, enfermedad respiratoria.",
Tablas Z-Score,"Las puntuaciones Z son la desviación estándar de la media en una distribución normal.

Las tablas anteriores son tablas de la OMS Z-score, que se utilizará para todos los niños en el mundo, no importa qué comunidad proceden.

Peso de Longitud / Altura (WFL) - Para evaluar el desgaste.

Longitud / talla para la edad (LFA) - Para evaluar retraso en el crecimiento.

Peso para la edad (WfA) - Evaluar bajo peso.
","weight_height_boys, weight_height_girls, length_boys, length_girls, weight_boys, weight_girls"
Evaluación Clínica,"Todos los niños con algún grado de desnutrición deben tener una evaluación completa de la siguiente y un LMP siempre necesita estar involucrado en su cuidado:

<b> Historia </b>
Pérdida de peso.
Enfermedad reciente o recurrente (fiebre, diarrea, IRAB).
Revisión de sistemas.
La historia familiar / salud de otros niños en la casa.
La alimentación adecuada / dificultades? historia de la lactancia materna.
Antecedentes de vacunación.
Inicio circunstancias.
el bienestar psicosocial del niño.
hábitos de alimentación actuales y recientes.

<b> Examen físico </b>
Todos los sistemas.
Específicamente la detección de soplos cardíacos, neumonía, sensibilidad abdominal, ganglios linfáticos agrandados, organomegalia y discotecas.

<b> Investigaciones </b>
La hemoglobina, azúcar en la sangre, orina con tira reactiva, prueba de VIH si está disponible.
",
Educación Para La Salud,"<b> Consejería en lactancia materna </b>
Un gran problema en la región es que las madres la lactancia exclusiva de más de 6 meses.
La OMS recomienda el destete para comenzar a los 6 meses.
Asesorar a estas madres para alimentar al niño antes de ofrecer la leche materna y explicar que después de 6 meses la leche materna por sí sola no es suficiente para su hijo.
Algunas madres también no amamantan a sus hijos durante el tiempo suficiente en una sola vez, es decir, los bebés no reciben la leche rica en nutrientes más, esto debe ser desaconsejado.

<b> La alimentación Historia </b>
Preguntar específicamente lo que tienen para cada comida, aperitivos y cuántas botellas de leche / cantidad de BF tienen por día.
Muchos niños han abultado su dieta con grandes volúmenes de mama leche- esto tiene mucho menos valor nutritivo que una comida equilibrada y pueden causar anemia severa y raquitismo nutricional debido a la vitamina D y la deficiencia de calcio.
Preguntar acerca de las fuentes de proteína (de coco, frijoles, lentejas, huevos, carne, pescado).

<b> Consejos nutricionales </b>
Preguntar qué alimentos están disponibles en la casa y si es posible, aconsejar una dieta equilibrada basada en lo que está disponible localmente.

<b> Si la diarrea </b>
Nunca dejar de alimentar al niño.
Dar alimento adicional (en las comidas pequeñas y frecuentes) y el exceso de agua limpia.
Amamantar con más frecuencia.
Informar a las madres que heces sueltas es común con los niños desnutridos.
Si esta es la diarrea significativa y deposiciones sueltas no sólo, a continuación, trataremos de Giardia.
Los niños desnutridos se enfrían fácilmente.
Cubrir al niño y mantenerlo caliente durante la noche y especialmente durante las horas de la mañana.
",
